category_id,views_fd,likes_fd,dislikes_fd,comment_count_fd,weekday_weekend,days_spent_trending
10,656393,25228,7287,7661,1,18
15,514544,24789,485,5930,1,18
25,358184,5854,4682,10274,0,18
22,712752,16982,724,1579,0,18
22,2783741,125003,1119,10555,0,18
17,905887,6584,802,2039,1,18
24,3724733,23442,1536,4125,1,18
24,18639195,511753,15606,32435,0,18
24,1034432,34874,3702,6677,1,18
10,559040,27423,625,2550,0,18
27,1945720,128539,1042,9111,1,18
27,653100,75284,2545,11921,0,18
24,968378,10636,7848,5829,1,18
10,1184750,113406,920,6543,0,18
10,2721293,245409,11419,21361,0,18
23,611611,34603,670,1614,1,18
22,868979,34262,509,2578,0,18
24,169569,16347,142,1819,0,18
22,2211726,92673,1185,4275,0,17
23,922312,48832,1995,10343,0,17
24,172804,1906,142,608,1,17
17,475754,8020,551,980,0,17
26,1623907,69688,1323,9155,0,17
25,1229852,14369,3873,2258,0,17
17,350771,10385,112,675,0,17
10,707608,103320,458,6460,0,17
23,512527,12977,603,915,0,17
22,398096,5585,385,650,0,17
10,636209,1769,117,489,0,17
28,1633011,38864,1320,3068,0,17
24,958445,63210,696,2143,0,17
24,679789,29684,457,2840,0,17
10,5907608,564182,8937,35155,0,17
1,1307660,58421,2603,10159,1,17
26,393466,23649,463,2100,0,17
24,1241998,65733,2797,10061,1,17
26,379756,5272,694,975,0,17
23,3467236,188920,2118,8454,0,17
24,350417,14896,655,4134,0,17
10,529440,30165,311,1116,0,17
25,1147233,13232,604,2984,0,17
24,740788,22562,161,1077,0,17
19,290559,9156,197,1383,1,17
10,1170800,69955,463,3313,0,17
24,11400708,112956,18662,10138,0,17
27,277150,12205,700,1323,0,17
23,1776298,118582,1424,10278,0,17
24,351950,5957,65,593,0,17
22,1738094,101092,724,14725,1,17
1,155135,12269,568,2287,0,17
24,1782907,51424,1686,7335,1,17
24,331571,4195,439,409,0,17
17,2671395,24562,522,1337,0,17
24,990404,22773,593,3039,0,17
27,940100,37815,1289,3818,0,17
23,179243,17090,131,14701,0,17
10,11188755,799884,16433,66115,0,17
24,742310,15675,498,2417,0,16
22,1659538,41402,3781,5216,1,16
23,1126368,159805,3568,30032,0,16
17,447735,1738,205,707,1,16
24,465689,6730,235,470,0,16
24,337788,6006,265,678,0,16
22,700068,43318,614,8707,0,16
28,536089,17197,1787,3164,0,16
17,1052206,7354,383,3717,0,16
24,936239,31539,642,1686,0,16
23,277355,6013,114,126,0,16
10,3008740,402827,9020,35006,0,16
10,8227432,631398,21806,48170,0,16
10,859034,15085,564,874,0,16
26,235961,11598,142,1240,0,16
10,76832,2309,173,196,0,16
1,1429739,79078,1035,2423,0,16
26,1489064,146799,845,11154,0,16
26,254803,12766,169,869,0,16
10,3406370,175954,12733,11649,0,16
26,1055484,45892,1859,5575,0,16
24,963996,20323,1108,3323,1,16
24,233063,9104,443,1899,1,16
10,804046,48157,453,2903,0,16
43,657183,24107,310,1825,0,16
24,181720,20721,225,0,0,16
24,272364,11920,108,744,0,16
15,174010,9747,132,723,0,16
28,204403,11194,130,971,0,16
28,1270699,121206,1664,25892,0,16
28,949030,25776,418,3287,0,16
26,1116194,62929,550,5298,0,16
26,699173,30138,2039,3016,0,16
17,979617,51845,1781,6140,0,16
24,741839,34603,372,773,0,16
1,613805,93637,480,7880,1,16
26,1258948,90571,1288,6953,1,16
24,1392368,96919,757,6898,0,16
28,668064,16873,508,2270,1,16
17,710423,24772,429,1854,0,16
24,519533,30449,205,1538,0,16
24,750825,17322,427,1893,0,16
24,522007,10822,2276,2156,0,16
10,913543,22608,305,961,0,16
1,525039,6030,214,407,0,16
24,946671,26369,1107,2605,0,16
24,174131,2296,160,556,0,16
22,654365,17435,815,1264,0,16
10,1191202,37446,1281,3226,0,16
24,1053434,36918,597,2870,0,16
24,469993,2673,774,4346,0,15
10,1496990,137646,1872,8487,0,15
26,1489944,48582,2346,1274,0,15
26,538635,20914,3354,3920,0,15
10,811636,77032,1537,7021,0,15
10,361251,38619,367,3799,0,15
24,539911,21140,431,1560,0,15
24,1196319,26616,644,3221,0,15
26,1550845,139013,916,10019,0,15
24,340608,15262,291,1562,0,15
10,347204,19354,107,545,0,15
24,389274,4928,555,1066,0,15
10,716096,23734,1159,2057,0,15
23,1429816,73099,1282,3803,0,15
1,1870245,57413,1416,7578,0,15
24,2164758,60951,3102,16558,0,15
10,693549,49074,1178,2682,0,15
24,854432,35842,517,5147,0,15
28,15006579,278743,13599,89194,0,15
17,503964,4889,1407,6320,0,15
24,537330,9262,191,575,0,15
15,812335,15841,768,2929,1,15
26,379108,25191,242,1842,0,15
22,2949068,128992,60701,31354,0,15
23,455808,22008,1530,3896,0,15
28,512769,51687,376,3358,1,15
26,380618,30931,331,21929,0,15
26,428389,13630,750,2081,0,15
10,125112,10784,124,916,0,15
25,1319265,7398,193,761,0,15
28,1058246,102940,707,18157,0,15
20,210841,23662,346,3891,0,15
10,627239,51158,724,2752,0,15
25,289398,1627,105,689,0,15
25,3197699,20967,1626,0,0,15
22,746495,47135,774,4270,0,15
1,1361565,48414,937,5129,0,15
24,2457390,28112,1273,3622,1,15
28,432987,6751,193,1142,0,15
26,375308,17170,151,1842,0,15
24,983218,92844,429,16264,0,15
24,369771,11620,646,3476,1,15
26,398525,32101,1090,4476,0,15
24,1024011,79960,1363,5545,0,15
10,3601720,244648,4890,18800,0,15
24,397385,5987,640,922,0,15
17,1815030,17120,633,1434,0,15
10,1019138,49786,708,2828,0,15
10,475557,21861,238,1564,0,15
10,8225526,222884,32454,20713,0,15
10,412323,25441,208,952,0,15
10,221152,4330,253,346,0,15
22,1158470,27318,942,0,0,15
28,1707223,82527,1273,13236,0,15
10,778600,57284,924,4536,0,15
1,1391740,148060,1262,13731,0,15
10,543891,94770,474,8311,0,15
20,452250,30035,282,2298,0,15
10,3961637,248052,16368,28708,0,15
26,493496,8151,322,697,0,15
10,1034355,89449,5559,8517,0,15
10,200534,8142,222,670,0,15
24,2349949,20094,1703,4242,0,15
23,34121,2624,23,324,1,15
26,397126,24008,539,1795,1,15
10,5294561,347642,22527,42155,0,15
20,1321771,94381,6161,19150,0,15
23,971574,76034,820,5790,1,15
24,1523626,34503,3421,5754,0,15
24,297360,11221,971,2418,0,15
20,5616854,190079,20368,50334,0,15
22,194010,1945,79,273,0,15
1,4223613,129679,3995,27208,0,15
1,646634,38258,498,1272,0,15
24,169479,17388,163,1770,1,15
26,1549431,51681,806,1863,0,15
23,666377,33684,741,1176,0,15
24,448606,15302,150,1562,0,15
10,2763271,355000,2084,23203,0,15
24,2727520,6493,510,700,0,15
10,14820746,983693,44254,97504,0,15
28,164678,4633,111,391,0,15
23,123615,17665,89,1235,0,15
1,2294001,6398,1410,881,0,15
10,3233699,176557,2578,10974,0,15
22,556752,65269,563,12330,0,15
26,928634,58604,529,6121,1,15
23,132242,16554,113,1784,0,15
17,371752,6749,711,1631,1,15
27,312056,6840,770,1839,1,15
1,325769,1129,31,159,0,15
27,126845,7540,61,475,0,15
23,705768,25448,749,1503,1,15
24,398191,12956,247,3242,0,14
10,929912,87962,1645,5578,0,14
28,1290657,11157,149,682,0,14
24,397926,14227,214,4115,0,14
27,357830,11954,464,970,0,14
28,690956,18296,905,2657,1,14
28,382839,22387,690,4461,0,14
24,260054,4942,559,2236,0,14
17,769802,2777,667,1285,1,14
24,206541,5684,121,942,0,14
1,2171303,200170,541,44073,1,14
10,440013,26413,609,1553,0,14
22,247528,12744,141,1461,0,14
23,1197826,57075,766,3161,0,14
26,1815481,129347,1326,8660,1,14
23,785770,7718,142,214,0,14
10,279586,7485,294,484,0,14
24,1968528,150337,1132,9698,0,14
23,254994,2849,293,201,1,14
10,39349927,3880071,72707,692305,0,14
22,219465,23724,672,3656,0,14
15,127591,7116,109,569,1,14
15,158576,1611,34,66,0,14
10,150082,8303,230,629,0,14
10,100116,4863,128,482,0,14
10,1112092,101802,1373,5114,0,14
26,46041,2576,49,427,0,14
24,1465006,36507,1407,5307,0,14
26,113811,6870,291,811,1,14
17,8593086,305102,11053,25290,0,14
24,465835,36824,787,2951,0,14
24,1461946,13325,789,1277,0,14
10,765387,45718,2730,3870,0,14
10,145826,16838,161,1098,0,14
10,24421448,641546,16517,42949,1,14
15,94088,2529,29,346,0,14
23,1118854,53858,1759,4546,0,14
1,871845,20937,720,2034,0,14
26,251733,6894,223,482,0,14
24,3637097,170697,7456,18012,0,14
1,3231827,109285,6153,19235,0,14
17,5589612,253719,9084,21111,0,14
24,291737,7065,539,715,0,14
26,184718,7550,143,712,0,14
26,484189,19141,391,2150,0,14
20,2297532,92920,3157,42668,1,14
26,604944,35009,374,1837,1,14
17,8523528,296275,5962,23855,0,14
17,4355458,239153,7542,48231,0,14
23,1011460,22358,491,4823,0,14
27,441414,12751,426,3012,1,14
24,99796,4727,152,373,0,14
10,3490465,337517,5788,36082,0,14
26,72945,3535,200,493,0,14
24,298474,9424,176,1137,1,14
28,4794673,48138,12187,0,0,14
1,660911,23622,3145,4170,0,14
1,1178642,50541,1013,6625,0,14
22,355033,23971,150,1797,0,14
26,404822,22557,1411,1734,1,14
19,246960,6152,117,392,1,14
23,1042657,96641,1211,7581,0,14
26,291118,13259,143,1854,0,14
26,954389,25754,629,717,0,14
24,3520365,255975,3514,22873,1,14
22,2428883,123059,1493,8187,0,14
24,785136,46291,1170,6528,0,14
24,677098,18993,1253,4876,1,14
26,275584,19163,552,5184,0,14
26,657253,32347,1156,2409,0,14
26,1071804,96363,1126,6155,1,14
1,3382977,196549,3042,36736,1,14
22,300843,27409,84,1060,0,14
10,404160,17055,784,1128,0,14
24,619540,2409,92,255,0,14
24,264747,3353,143,291,0,14
24,346236,6588,315,3849,0,14
22,857701,40449,1358,5388,0,14
10,150238,3372,226,366,0,14
10,164214,3411,288,215,0,14
10,966262,46492,576,2943,0,14
23,36630,572,24,75,0,14
25,407811,2414,240,1220,1,14
26,1766034,89999,2415,6208,0,14
22,699447,36883,433,2805,0,14
26,211612,10987,834,1944,0,14
19,681226,21024,352,2973,0,14
10,603891,60869,416,2942,0,14
10,4673846,120936,22319,18984,0,14
24,1064893,18895,534,2643,0,14
23,285717,10235,849,2032,0,14
27,54693,3039,16,414,0,14
24,1693989,50370,5782,7396,0,14
19,256000,7937,386,1908,1,14
28,234213,9547,523,1858,0,14
26,355429,24649,193,5828,0,14
26,449834,26680,1139,2567,0,14
26,557246,28234,378,3828,0,14
20,904177,38381,820,14888,0,14
25,361157,2484,255,1124,0,14
23,1494832,111812,805,10312,0,14
26,1044592,41368,2065,3811,0,14
23,558059,6941,562,1146,0,14
26,177544,6857,77,192,0,14
24,1286401,25151,980,1885,0,14
25,211898,1778,196,469,0,14
24,201021,5385,365,1021,0,14
28,1540399,60111,1833,7861,0,14
24,23758250,587326,18799,43728,0,14
17,513969,33988,861,1938,0,14
22,1197477,49849,885,3459,0,14
24,118831,2587,307,986,0,14
10,677983,20266,305,829,0,14
20,233958,16911,126,3774,0,14
24,237817,8448,95,515,1,14
27,1650881,119453,1145,8056,0,14
20,2656683,178607,4695,12469,1,14
24,1341323,2328,761,817,0,14
23,333728,25413,684,3954,0,14
26,673728,41900,584,482,0,14
24,371602,12535,5071,1768,0,14
22,224742,7698,106,335,0,14
24,2367796,81591,4343,10880,1,14
24,1108125,146294,831,17196,0,14
24,2823761,183159,3283,16668,0,14
26,328056,3346,340,402,0,14
26,151323,9809,132,1257,0,14
26,264124,13805,272,834,0,14
10,38873543,1111592,96407,206632,0,14
24,728277,13050,763,917,0,14
1,513336,9520,350,738,0,14
23,223107,15437,331,695,0,14
26,202787,7841,230,817,0,14
24,1076574,19969,1000,2795,0,14
27,846310,14217,968,5345,1,14
22,764459,33314,520,1306,0,14
23,350104,32309,389,3473,0,14
27,942126,22247,608,4373,0,14
24,660104,19172,359,1637,0,14
24,851859,50203,960,4952,0,14
15,627769,22889,388,4067,0,14
17,199868,2238,48,227,0,14
24,976803,31107,953,2518,0,14
27,913695,28659,702,2711,0,13
1,755367,54764,177,3653,0,13
24,374556,11108,494,2129,0,13
10,1243076,136234,2457,9445,0,13
24,967386,39539,724,6177,0,13
25,68217,3412,55,448,0,13
23,984846,47073,2514,4100,0,13
17,1290458,23327,507,3575,1,13
17,417571,2783,616,960,1,13
23,374722,43489,225,8494,0,13
10,201224,19081,145,3107,0,13
10,218654,37969,132,3381,0,13
28,933053,20531,937,2593,1,13
